alpha,region,mse_total,mse_rho,mse_sigma,mean_ess,final_val_mse
2.0,all,0.018083,0.009578,0.008504,93.13,0.018083
2.0,high_|rho|,0.019602,0.003394,0.016207,93.13,0.018083
2.0,low_sigma,0.016091,0.014461,0.001630,93.13,0.018083
2.0,high_sigma,0.024508,0.007283,0.017224,93.13,0.018083
1.5,all,0.015227,0.008541,0.006686,172.72,0.015227
1.5,high_|rho|,0.012318,0.002926,0.009392,172.72,0.015227
1.5,low_sigma,0.012061,0.010827,0.001234,172.72,0.015227
1.5,high_sigma,0.019804,0.007295,0.012509,172.72,0.015227
1.0,all,0.013627,0.007587,0.006039,256.00,0.013627
1.0,high_|rho|,0.009962,0.002718,0.007244,256.00,0.013627
1.0,low_sigma,0.008659,0.008024,0.000635,256.00,0.013627
1.0,high_sigma,0.018747,0.007012,0.011735,256.00,0.013627
0.5,all,0.014103,0.007927,0.006176,155.86,0.014103
0.5,high_|rho|,0.010159,0.002861,0.007298,155.86,0.014103
0.5,low_sigma,0.009918,0.009276,0.000642,155.86,0.014103
0.5,high_sigma,0.018807,0.006934,0.011873,155.86,0.014103
0.3,all,0.013884,0.007618,0.006266,78.84,0.013884
0.3,high_|rho|,0.010013,0.002935,0.007078,78.84,0.013884
0.3,low_sigma,0.008424,0.007667,0.000757,78.84,0.013884
0.3,high_sigma,0.018120,0.007037,0.011084,78.84,0.013884
0.1,all,0.016286,0.009100,0.007186,13.36,0.016286
0.1,high_|rho|,0.012781,0.003394,0.009387,13.36,0.016286
0.1,low_sigma,0.011182,0.010230,0.000952,13.36,0.016286
0.1,high_sigma,0.021671,0.008163,0.013508,13.36,0.016286
